,R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND,win_by,Format,Referee,date,location,Fight_type,Winner,Red_Fighter_Height,Red_Fighter_Weight,Red_Fighter_Reach,Red_Fighter_Stance,Blue_Fighter_Height,Blue_Fighter_Weight,Blue_Fighter_Reach,Blue_Fighter_Stance,Red_Fighter_Age,Blue_Fighter_Age,Blue_wins,Red_wins,Blue_losses,Red_losses,win_by_,Win_Model,R_fighter_,B_fighter_,Referee_,location_,Fight_type_,Format_,Winner_Code
46,BJ Penn,Clay Guida,0,0,0.36,0.38,0.39,0.47,0.0,0.5,0,0,0,0,0,0,0.34,0.31,0.67,0.62,0.0,0.88,0.83,0.52,0.0,0.0,Decision - Unanimous,3 Rnd (5-5-5),Herb Dean,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Lightweight Bout,Clay Guida,175.26,70.31,177.8,2,170.18,70.31,177.8,2,40,37,14,12,12,14,3,1,104,311,63,117,6,13,212
47,Luana Carolina,Priscila Cachoeira,1,0,0.48,0.46,0.5,0.46,0.0,0.0,3,0,1,0,2,2,0.42,0.38,0.67,0.62,1.0,0.75,0.53,0.57,0.8,1.0,Decision - Unanimous,3 Rnd (5-5-5),Fernando Portella,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Women's Flyweight Bout,Luana Carolina,167.64,56.7,175.26,2,170.18,56.7,165.1,2,25,30,0,0,2,0,3,0,769,1328,48,117,109,13,733
48,Raoni Barcelos,Carlos Huachin,1,0,0.47,0.15,0.51,0.16,0.0,0.0,1,0,3,0,0,0,0.46,0.14,0.75,0.33,0.67,1.0,1.0,0.33,0.7,0.0,KO/TKO,3 Rnd (5-5-5),Eduardo Herdy,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Bantamweight Bout,Raoni Barcelos,170.18,61.23,170.18,2,162.56,61.23,170.18,4,32,22,0,2,0,0,1,0,1021,241,45,117,0,13,983
49,Talita Bernardo,Viviane Araujo,0,1,0.33,0.53,0.36,0.55,0.0,1.0,0,0,0,3,0,0,0.25,0.43,0.67,0.64,0.83,0.82,0.5,0.0,0.0,1.0,KO/TKO,3 Rnd (5-5-5),Fernando Portella,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Women's Bantamweight Bout,Viviane Araujo,162.56,61.23,172.72,2,162.56,61.23,172.72,2,32,32,0,1,0,2,1,1,1186,1690,48,117,107,13,1218
50,Al Iaquinta,Donald Cerrone,0,2,0.4,0.38,0.4,0.39,0.0,0.0,0,0,0,0,0,0,0.3,0.29,0.61,0.68,0.9,1.0,0.0,1.0,0.0,0.43,Decision - Unanimous,5 Rnd (5-5-5-5-5),Jerin Valel,2019-05-04,"Ottawa, Ontario, Canada",Lightweight Bout,Donald Cerrone,177.8,70.31,177.8,2,185.42,70.31,185.42,2,32,36,22,9,8,3,3,1,15,463,73,107,6,15,321
51,Derek Brunson,Elias Theodorou,0,0,0.59,0.38,0.63,0.45,0.44,0.0,0,0,5,0,0,0,0.55,0.18,0.65,0.79,0.73,0.46,0.86,0.6,1.0,0.0,Decision - Unanimous,3 Rnd (5-5-5),Todd Ronald Anderson,2019-05-04,"Ottawa, Ontario, Canada",Middleweight Bout,Derek Brunson,185.42,83.91,195.58,4,185.42,83.91,190.5,2,35,30,8,9,2,5,3,0,321,508,175,107,7,13,302
52,Cub Swanson,Shane Burgos,0,0,0.5,0.5,0.51,0.52,0.0,0.0,0,0,0,0,0,0,0.4,0.39,0.54,0.72,0.78,0.97,0.92,0.75,1.0,0.0,Decision - Split,3 Rnd (5-5-5),Yves Lavigne,2019-05-04,"Ottawa, Ontario, Canada",Featherweight Bout,Shane Burgos,172.72,65.77,177.8,2,180.34,65.77,190.5,2,35,28,4,10,1,6,5,1,251,1517,189,107,2,13,1100
53,Brad Katona,Merab Dvalishvili,0,0,0.57,0.53,0.61,0.78,0.0,0.55,0,0,0,3,0,0,0.51,0.51,0.8,0.6,0.7,0.86,0.75,0.8,0.75,0.84,Decision - Unanimous,3 Rnd (5-5-5),Kevin MacDonald,2019-05-04,"Ottawa, Ontario, Canada",Bantamweight Bout,Merab Dvalishvili,167.64,61.23,162.56,2,167.64,61.23,172.72,2,27,28,1,2,2,0,3,1,134,1157,98,107,0,13,831
54,Walt Harris,Serghei Spivac,1,0,0.6,0.33,0.61,0.33,0.0,0.0,0,0,0,0,0,0,0.63,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.83,0.0,KO/TKO,3 Rnd (5-5-5),Jerin Valel,2019-05-04,"Ottawa, Ontario, Canada",Heavyweight Bout,Walt Harris,195.58,113.4,195.58,4,190.5,117.93,198.12,2,35,24,0,4,0,7,1,0,1273,1508,73,107,4,13,1223
55,Marc-Andre Barriault,Andrew Sanchez,0,0,0.53,0.48,0.55,0.56,0.0,0.25,0,0,0,3,0,0,0.48,0.39,0.86,0.81,1.0,0.7,0.74,0.75,1.0,0.86,Decision - Unanimous,3 Rnd (5-5-5),Todd Ronald Anderson,2019-05-04,"Ottawa, Ontario, Canada",Middleweight Bout,Andrew Sanchez,185.42,83.91,187.96,2,185.42,83.91,187.96,2,29,31,3,0,2,0,3,1,801,98,175,107,7,13,71
