,R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND,win_by,Format,Referee,date,location,Fight_type,Winner,Red_Fighter_Height,Red_Fighter_Weight,Red_Fighter_Reach,Red_Fighter_Stance,Blue_Fighter_Height,Blue_Fighter_Weight,Blue_Fighter_Reach,Blue_Fighter_Stance,Red_Fighter_Age,Blue_Fighter_Age,Blue_wins,Red_wins,Blue_losses,Red_losses,win_by_,Win_Model,R_fighter_,B_fighter_,Referee_,location_,Fight_type_,Format_,Winner_Code
2185,Claudio Silva,Leon Edwards,0,0,0.41,0.54,0.6,0.6,0.33,0.0,1,0,8,1,0,2,0.31,0.48,0.82,0.89,0.64,0.0,0.6,0.86,0.5,1.0,Decision - Split,3 Rnd (5-5-5),Mario Yamasaki,2014-11-08,"Uberlandia, Minas Gerais, Brazil",Welterweight Bout,Claudio Silva,180.34,77.11,180.34,4,182.88,77.11,187.96,4,32,23,0,1,0,0,5,0,224,1016,121,147,106,13,210
2186,Dhiego Lima,Jorge de Oliveira,0,0,0.51,0.33,0.59,0.54,0.75,0.0,4,0,9,0,0,0,0.5,0.21,0.83,0.73,0.5,0.56,1.0,0.88,0.56,0.0,Decision - Unanimous,3 Rnd (5-5-5),Wernei Cardoso,2014-11-08,"Uberlandia, Minas Gerais, Brazil",Welterweight Bout,Dhiego Lima,187.96,77.11,187.96,2,172.72,70.31,180.34,2,25,34,0,0,0,1,3,0,327,870,186,147,106,13,308
2187,Juliana Lima,Nina Ansaroff,0,0,0.55,0.53,0.75,0.71,0.25,0.0,0,2,0,0,1,0,0.35,0.32,0.64,0.75,0.8,0.5,0.83,0.53,0.43,1.0,Decision - Unanimous,3 Rnd (5-5-5),Keith Peterson,2014-11-08,"Uberlandia, Minas Gerais, Brazil",Women's Strawweight Bout,Juliana Lima,165.1,52.16,165.1,2,165.1,52.16,162.56,2,32,28,0,0,0,1,3,0,657,1261,95,147,110,13,630
2188,Diego Rivas,Rodolfo Rubio,0,0,0.37,0.36,0.6,0.62,0.66,0.33,0,0,6,6,3,1,0.3,0.2,0.5,0.8,1.0,1.0,0.67,0.67,0.5,1.0,Decision - Unanimous,3 Rnd (5-5-5),Mario Yamasaki,2014-11-08,"Uberlandia, Minas Gerais, Brazil",Featherweight Bout,Diego Rivas,172.72,65.77,175.26,2,165.1,65.77,167.64,2,22,27,0,0,0,0,3,0,331,1406,121,147,2,13,312
2189,Caio Magalhaes,Trevor Smith,1,0,0.64,0.4,0.67,0.4,0.0,0.0,0,0,0,0,0,0,0.64,0.4,0.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0,KO/TKO,3 Rnd (5-5-5),Keith Peterson,2014-11-08,"Uberlandia, Minas Gerais, Brazil",Middleweight Bout,Caio Magalhaes,185.42,83.91,185.42,2,190.5,83.91,190.5,2,26,33,2,3,2,1,1,0,169,1658,95,147,7,13,155
2190,Leandro Silva,Charlie Brenneman,0,0,0.5,0.44,0.75,0.56,1.0,0.37,1,0,2,1,0,0,0.4,0.25,0.67,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Submission,3 Rnd (5-5-5),Wernei Cardoso,2014-11-08,"Uberlandia, Minas Gerais, Brazil",Lightweight Bout,Leandro Silva,175.26,70.31,182.88,2,177.8,70.31,182.88,2,28,33,4,0,6,2,4,0,752,263,186,147,6,13,715
2191,Thomas Almeida,Tim Gorman,0,0,0.55,0.35,0.56,0.36,0.0,0.18,0,0,0,1,0,0,0.46,0.35,0.86,0.25,0.89,0.6,0.6,1.0,0.0,0.0,Decision - Unanimous,3 Rnd (5-5-5),Mario Yamasaki,2014-11-08,"Uberlandia, Minas Gerais, Brazil",Bantamweight Bout,Thomas Almeida,170.18,61.23,177.8,4,165.1,61.23,172.72,4,23,31,0,0,1,0,3,0,1208,1615,121,147,0,13,1163
2192,Wagner Silva,Colby Covington,0,0,0.27,0.37,0.35,0.63,0.0,0.41,0,1,0,6,0,0,0.17,0.3,0.44,0.47,1.0,1.0,1.0,0.62,1.0,0.71,Submission,3 Rnd (5-5-5),Keith Peterson,2014-11-08,"Uberlandia, Minas Gerais, Brazil",Welterweight Bout,Colby Covington,182.88,77.11,180.34,2,180.34,77.11,182.88,2,27,26,1,0,0,1,4,1,1271,322,95,147,106,13,222
2193,Luke Rockhold,Michael Bisping,1,0,0.48,0.24,0.49,0.25,0.0,0.0,1,0,1,0,0,0,0.37,0.19,0.64,0.14,1.0,1.0,0.5,1.0,0.67,0.0,Submission,5 Rnd (5-5-5-5-5),Herb Dean,2014-11-07,"Sydney, New South Wales, Australia",Middleweight Bout,Luke Rockhold,190.5,83.91,195.58,4,185.42,83.91,190.5,2,30,35,15,2,6,1,4,0,780,1158,63,142,7,15,743
2194,Ross Pearson,Al Iaquinta,0,2,0.33,0.33,0.34,0.34,0.0,0.0,0,0,0,0,0,0,0.27,0.31,0.5,0.33,0.8,1.0,0.0,0.5,0.0,0.67,KO/TKO,3 Rnd (5-5-5),Leon Roberts,2014-11-07,"Sydney, New South Wales, Australia",Lightweight Bout,Al Iaquinta,172.72,70.31,175.26,2,177.8,70.31,177.8,2,30,27,4,8,2,5,1,1,1084,20,109,142,6,13,16
2195,Robert Whittaker,Clint Hester,2,0,0.47,0.45,0.49,0.47,0.5,0.0,0,0,2,0,0,1,0.41,0.4,0.71,0.75,0.82,0.8,0.33,0.8,0.57,0.6,KO/TKO,3 Rnd (5-5-5),John Sharp,2014-11-07,"Sydney, New South Wales, Australia",Middleweight Bout,Robert Whittaker,182.88,83.91,185.42,2,187.96,92.99,195.58,2,23,27,4,3,0,2,1,0,1062,314,86,142,7,13,1023
2196,Soa Palelei,Walt Harris,0,0,0.47,0.3,0.56,0.32,0.2,0.0,0,0,2,0,0,0,0.47,0.19,0.25,0.45,1.0,1.0,0.0,0.33,0.62,0.0,KO/TKO,3 Rnd (5-5-5),Leon Roberts,2014-11-07,"Sydney, New South Wales, Australia",Heavyweight Bout,Soa Palelei,193.04,120.2,205.74,2,195.58,113.4,195.58,4,37,31,0,3,2,2,1,0,1157,1700,109,142,4,13,1116
2197,Jake Matthews,Vagner Rocha,0,0,0.41,0.46,0.46,0.52,0.5,0.0,1,0,0,0,0,0,0.33,0.39,0.5,1.0,1.0,0.55,0.0,0.0,1.0,0.0,Submission,3 Rnd (5-5-5),John Sharp,2014-11-07,"Sydney, New South Wales, Australia",Lightweight Bout,Jake Matthews,180.34,77.11,185.42,2,177.8,70.31,185.42,2,20,32,1,1,2,0,4,0,508,1669,86,142,6,13,493
2198,Anthony Perosh,Guto Inocente,0,0,0.64,0.33,0.76,0.33,0.5,0.0,1,0,5,0,0,0,0.65,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,Submission,3 Rnd (5-5-5),Herb Dean,2014-11-07,"Sydney, New South Wales, Australia",Light Heavyweight Bout,Anthony Perosh,190.5,92.99,190.5,2,190.5,92.99,195.58,2,42,28,0,4,1,5,4,0,83,616,63,142,5,13,78
2199,Dylan Andrews,Sam Alvey,0,0,0.57,0.85,0.8,0.9,0.66,0.0,0,0,2,1,0,0,0.0,0.86,0.5,0.0,0.6,0.0,0.0,0.0,0.0,1.0,KO/TKO,3 Rnd (5-5-5),Leon Roberts,2014-11-07,"Sydney, New South Wales, Australia",Middleweight Bout,Sam Alvey,185.42,83.91,185.42,3,187.96,92.99,190.5,4,34,28,0,2,1,1,1,1,356,1470,109,142,7,13,1065
2200,Richie Vaculik,Louis Smolka,0,1,0.52,0.46,0.55,0.48,1.0,0.5,1,0,2,2,1,2,0.46,0.37,0.73,0.87,0.86,1.0,0.71,0.5,0.8,1.0,KO/TKO,3 Rnd (5-5-5),John Sharp,2014-11-07,"Sydney, New South Wales, Australia",Flyweight Bout,Louis Smolka,167.64,56.7,175.26,2,175.26,61.23,172.72,2,31,23,1,1,1,1,1,1,1047,1033,86,142,3,13,731
2201,Vik Grujic,Chris Clements,0,0,0.87,0.92,0.96,0.93,0.5,0.0,0,0,1,0,0,0,0.88,0.88,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,KO/TKO,3 Rnd (5-5-5),Herb Dean,2014-11-07,"Sydney, New South Wales, Australia",Welterweight Bout,Chris Clements,180.34,77.11,185.42,2,177.8,77.11,177.8,2,37,38,1,1,2,1,1,1,1260,276,63,142,106,13,188
2202,Luke Zachrich,Daniel Kelly,0,0,0.5,0.52,0.51,0.56,0.0,0.5,0,1,0,2,0,0,0.49,0.45,0.0,1.0,1.0,1.0,1.0,0.71,0.0,1.0,Submission,3 Rnd (5-5-5),Leon Roberts,2014-11-07,"Sydney, New South Wales, Australia",Middleweight Bout,Daniel Kelly,187.96,83.91,187.96,2,182.88,83.91,177.8,4,32,37,0,1,0,1,4,1,782,376,109,142,7,13,260
2203,Jumabieke Tuerxun,Marcus Brimage,0,1,0.4,0.31,0.4,0.35,0.0,0.0,0,0,0,0,0,0,0.14,0.3,1.0,0.0,0.5,0.4,0.0,0.0,0.0,0.5,KO/TKO,3 Rnd (5-5-5),John Sharp,2014-11-07,"Sydney, New South Wales, Australia",Bantamweight Bout,Marcus Brimage,170.18,61.23,170.18,2,162.56,61.23,180.34,4,28,29,3,0,2,2,1,1,662,1090,86,142,0,13,775
2204,Jose Aldo,Chad Mendes,1,0,0.37,0.39,0.42,0.42,0.0,0.12,0,0,2,0,0,0,0.34,0.34,0.64,0.53,0.86,0.64,0.5,0.4,0.91,0.0,Decision - Unanimous,5 Rnd (5-5-5-5-5),Marc Goddard,2014-10-25,"Rio de Janeiro, Brazil",UFC Featherweight Title Bout,Jose Aldo,170.18,65.77,177.8,2,167.64,65.77,167.64,2,28,29,7,6,1,0,3,0,636,252,115,116,30,15,612
2205,Glover Teixeira,Phil Davis,0,0,0.19,0.33,0.27,0.51,0.0,0.5,0,0,0,4,1,0,0.12,0.29,0.8,0.73,0.0,0.0,0.67,0.67,0.0,0.86,Decision - Unanimous,3 Rnd (5-5-5),Mario Yamasaki,2014-10-25,"Rio de Janeiro, Brazil",Light Heavyweight Bout,Phil Davis,187.96,92.99,193.04,2,187.96,92.99,200.66,2,34,30,8,5,3,1,3,1,446,1319,121,116,5,13,960
2206,Fabio Maldonado,Hans Stringer,0,0,0.6,0.71,0.69,0.82,0.0,1.0,0,0,0,1,0,0,0.54,0.58,0.89,1.0,0.0,1.0,1.0,1.0,0.79,0.67,KO/TKO,3 Rnd (5-5-5),Marc Goddard,2014-10-25,"Rio de Janeiro, Brazil",Light Heavyweight Bout,Fabio Maldonado,185.42,92.99,190.5,2,190.5,92.99,185.42,2,34,27,1,4,0,4,1,0,395,621,115,116,5,13,374
2207,Darren Elkins,Lucas Martins,0,0,0.3,0.31,0.53,0.42,0.07,0.0,0,1,0,0,0,0,0.22,0.23,0.47,0.86,1.0,0.8,0.48,0.64,0.5,0.0,Decision - Split,3 Rnd (5-5-5),Osiris Maia,2014-10-25,"Rio de Janeiro, Brazil",Featherweight Bout,Darren Elkins,177.8,65.77,180.34,2,182.88,65.77,182.88,4,30,25,3,7,1,3,5,0,294,1036,143,116,2,13,275
2208,Diego Ferreira,Beneil Dariush,0,0,0.24,0.47,0.27,0.56,0.0,0.5,0,0,0,2,0,0,0.15,0.4,0.67,0.6,1.0,0.7,0.5,0.59,0.0,0.53,Decision - Unanimous,3 Rnd (5-5-5),Mario Yamasaki,2014-10-25,"Rio de Janeiro, Brazil",Lightweight Bout,Beneil Dariush,175.26,70.31,187.96,2,177.8,70.31,182.88,4,29,25,2,2,1,0,3,1,329,160,121,116,6,13,112
2209,William Patolino,Neil Magny,0,0,0.31,0.44,0.32,0.57,0.0,0.5,0,0,0,4,0,0,0.24,0.43,0.38,0.6,0.83,0.67,0.0,0.6,0.25,0.65,KO/TKO,3 Rnd (5-5-5),Eduardo Herdy,2014-10-25,"Rio de Janeiro, Brazil",Welterweight Bout,Neil Magny,180.34,77.11,190.5,2,190.5,77.11,203.2,2,23,27,5,1,2,1,1,1,1283,1239,45,116,106,13,898
2210,Yan Cabral,Naoyuki Kotani,0,0,0.45,0.19,0.63,0.38,0.4,1.0,1,0,3,1,0,0,0.45,0.17,0.5,0.0,0.0,0.29,1.0,0.0,0.58,0.67,Submission,3 Rnd (5-5-5),Mario Yamasaki,2014-10-25,"Rio de Janeiro, Brazil",Lightweight Bout,Yan Cabral,180.34,70.31,185.42,2,172.72,70.31,167.64,4,31,32,0,1,3,1,4,0,1289,1228,121,116,6,13,1237
2211,Scott Jorgensen,Wilson Reis,1,0,0.31,0.37,0.35,0.37,0.0,0.5,0,1,0,2,0,0,0.15,0.34,0.5,1.0,0.75,0.5,0.0,0.0,0.5,0.62,Submission,3 Rnd (5-5-5),Marc Goddard,2014-10-25,"Rio de Janeiro, Brazil",Flyweight Bout,Wilson Reis,165.1,61.23,167.64,2,162.56,56.7,165.1,4,32,29,2,4,1,5,4,1,1124,1715,115,116,3,13,1234
2212,Felipe Arantes,Andre Fili,0,0,0.46,0.41,0.55,0.49,0.6,0.62,1,1,3,4,2,2,0.47,0.3,0.33,0.74,1.0,0.17,0.0,0.8,0.62,0.39,Decision - Unanimous,3 Rnd (5-5-5),Osiris Maia,2014-10-25,"Rio de Janeiro, Brazil",Featherweight Bout,Andre Fili,172.72,61.23,185.42,2,180.34,65.77,187.96,2,26,24,1,3,1,3,3,1,400,87,143,116,2,13,62
2213,Gilbert Burns,Christos Giagos,0,0,0.53,0.3,0.69,0.4,1.0,0.0,2,0,3,0,0,0,0.44,0.33,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.0,Submission,3 Rnd (5-5-5),Eduardo Herdy,2014-10-25,"Rio de Janeiro, Brazil",Lightweight Bout,Gilbert Burns,177.8,70.31,180.34,2,177.8,70.31,180.34,2,28,24,0,1,0,0,4,0,440,303,45,116,6,13,424
2214,Fabricio Camoes,Anthony Rocco Martin,0,0,0.12,0.09,0.12,0.17,0.0,1.0,0,3,0,2,0,0,0.0,0.09,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,Submission,3 Rnd (5-5-5),Mario Yamasaki,2014-10-25,"Rio de Janeiro, Brazil",Lightweight Bout,Anthony Rocco Martin,177.8,70.31,185.42,2,182.88,77.11,185.42,2,35,24,0,1,2,4,4,1,396,117,121,116,6,13,80
2215,Rory MacDonald,Tarec Saffiedine,1,0,0.42,0.3,0.42,0.31,0.33,0.0,0,0,0,0,0,0,0.37,0.17,0.5,0.4,1.0,0.81,0.0,0.0,0.88,0.0,KO/TKO,5 Rnd (5-5-5-5-5),Herb Dean,2014-10-04,"Halifax, Nova Scotia, Canada",Welterweight Bout,Rory MacDonald,182.88,77.11,193.04,2,177.8,77.11,177.8,3,25,28,1,8,0,2,1,0,1079,1585,63,61,106,15,1040
2216,Raphael Assuncao,Bryan Caraway,0,0,0.56,0.3,0.59,0.33,0.33,0.25,0,0,0,0,0,0,0.41,0.25,0.85,0.6,0.96,0.54,0.64,0.33,0.5,0.0,Decision - Unanimous,3 Rnd (5-5-5),Dan Miragliotta,2014-10-04,"Halifax, Nova Scotia, Canada",Bantamweight Bout,Raphael Assuncao,165.1,61.23,167.64,2,172.72,61.23,172.72,2,32,30,4,6,1,1,3,0,1022,220,31,61,0,13,984
2217,Chad Laprise,Yosdenis Cedeno,0,0,0.42,0.18,0.52,0.24,0.57,0.0,0,0,5,0,0,2,0.28,0.08,0.67,0.5,1.0,0.7,0.62,0.83,0.0,0.0,Decision - Unanimous,3 Rnd (5-5-5),Cyril Desjardins,2014-10-04,"Halifax, Nova Scotia, Canada",Lightweight Bout,Chad Laprise,177.8,77.11,180.34,2,172.72,70.31,175.26,2,28,29,1,1,1,0,3,0,183,1728,29,61,6,13,170
2218,Elias Theodorou,Bruno Santos,0,0,0.4,0.4,0.58,0.54,0.42,0.66,0,0,2,2,0,0,0.24,0.29,0.78,1.0,1.0,1.0,0.67,0.78,1.0,0.0,Decision - Unanimous,3 Rnd (5-5-5),Brad Jardine,2014-10-04,"Halifax, Nova Scotia, Canada",Middleweight Bout,Elias Theodorou,185.42,83.91,190.5,2,175.26,83.91,175.26,2,26,27,1,1,1,0,3,0,371,218,17,61,7,13,352
2219,Nordine Taleb,Li Jingliang,0,0,0.57,0.29,0.65,0.35,0.5,0.25,0,0,0,0,0,0,0.51,0.19,0.78,0.5,1.0,0.76,0.83,0.75,0.0,0.0,Decision - Split,3 Rnd (5-5-5),Herb Dean,2014-10-04,"Halifax, Nova Scotia, Canada",Welterweight Bout,Nordine Taleb,185.42,77.11,187.96,2,182.88,77.11,180.34,2,33,26,1,1,0,0,5,0,952,1025,63,61,106,13,918
2220,Mitch Gagnon,Roman Salazar,0,0,0.29,0.5,0.33,0.5,0.5,0.0,1,0,1,0,0,0,0.31,0.25,0.0,1.0,0.0,1.0,0.5,1.0,0.5,0.0,Submission,3 Rnd (5-5-5),Cyril Desjardins,2014-10-04,"Halifax, Nova Scotia, Canada",Bantamweight Bout,Mitch Gagnon,165.1,61.23,165.1,4,170.18,61.23,170.18,2,29,26,0,3,0,1,4,0,910,1423,29,61,0,13,876
2221,Daron Cruickshank,Anthony Njokuani,0,0,0.4,0.43,0.47,0.46,0.5,0.0,0,0,1,0,0,0,0.35,0.2,0.43,0.56,0.8,0.83,0.5,0.67,0.85,0.0,Decision - Unanimous,3 Rnd (5-5-5),Dan Miragliotta,2014-10-04,"Halifax, Nova Scotia, Canada",Lightweight Bout,Daron Cruickshank,172.72,70.31,182.88,3,185.42,70.31,190.5,2,29,34,3,5,4,3,3,0,292,114,31,61,6,13,273
2222,Olivier Aubin-Mercier,Jake Lindsey,0,0,0.64,0.46,0.72,0.74,0.4,1.0,1,0,4,1,0,0,0.58,0.14,0.88,0.55,1.0,0.79,1.0,0.67,0.6,0.5,Submission,3 Rnd (5-5-5),Brad Jardine,2014-10-04,"Halifax, Nova Scotia, Canada",Lightweight Bout,Olivier Aubin-Mercier,175.26,70.31,177.8,4,180.34,70.31,180.34,3,25,28,0,0,1,1,4,0,958,686,17,61,6,13,921
2223,Jason Saggo,Paul Felder,1,0,0.58,0.6,0.58,0.66,0.37,1.0,0,0,7,1,1,0,0.55,0.57,0.6,1.0,0.71,1.0,0.8,0.71,0.69,0.65,Decision - Split,3 Rnd (5-5-5),Herb Dean,2014-10-04,"Halifax, Nova Scotia, Canada",Lightweight Bout,Paul Felder,180.34,70.31,180.34,2,180.34,70.31,177.8,2,28,30,0,1,0,0,5,1,542,1296,63,61,6,13,942
2224,Paddy Holohan,Chris Kelades,0,0,0.57,0.58,0.72,0.69,0.5,0.4,0,1,4,5,0,0,0.43,0.48,0.71,0.88,1.0,0.83,0.5,0.94,0.89,0.63,Decision - Unanimous,3 Rnd (5-5-5),Cyril Desjardins,2014-10-04,"Halifax, Nova Scotia, Canada",Flyweight Bout,Chris Kelades,177.8,56.7,175.26,2,170.18,56.7,172.72,2,26,33,0,1,0,0,3,1,964,286,29,61,3,13,195
2225,Albert Tumenov,Matt Dwyer,2,0,0.33,0.0,0.33,0.0,0.0,0.0,0,0,0,0,0,0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,KO/TKO,3 Rnd (5-5-5),Dan Miragliotta,2014-10-04,"Halifax, Nova Scotia, Canada",Welterweight Bout,Albert Tumenov,180.34,77.11,185.42,2,193.04,77.11,193.04,2,22,24,0,1,0,1,1,0,21,1129,31,61,106,13,21
2227,Gunnar Nelson,Rick Story,0,1,0.49,0.53,0.5,0.59,0.25,1.0,0,0,0,0,0,0,0.45,0.38,0.75,0.79,0.5,0.94,1.0,0.73,0.0,0.58,Decision - Split,5 Rnd (5-5-5-5-5),Marc Goddard,2014-10-04,"Stockholm, Sweden",Welterweight Bout,Rick Story,180.34,77.11,182.88,3,175.26,77.11,180.34,4,26,30,10,4,6,0,5,1,455,1384,115,140,106,15,1011
2228,Akira Corassani,Max Holloway,0,1,0.37,0.6,0.38,0.61,0.0,0.0,0,0,0,0,0,0,0.35,0.6,1.0,0.67,0.4,0.67,0.33,0.67,0.0,0.78,KO/TKO,3 Rnd (5-5-5),Kristian Hacklou,2014-10-04,"Stockholm, Sweden",Featherweight Bout,Max Holloway,172.72,65.77,172.72,2,180.34,70.31,175.26,2,32,22,6,3,3,1,1,1,14,1150,105,140,2,13,825
2229,Ilir Latifi,Jan Blachowicz,0,0,0.33,0.65,0.33,0.67,0.0,0.0,0,0,0,0,0,0,0.33,0.6,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.88,KO/TKO,3 Rnd (5-5-5),Grant Waterman,2014-10-04,"Stockholm, Sweden",Light Heavyweight Bout,Jan Blachowicz,177.8,92.99,185.42,2,187.96,92.99,198.12,2,31,31,0,2,0,1,1,1,487,707,60,140,5,13,508
2231,Magnus Cedenblad,Scott Askham,0,1,0.67,0.82,0.93,0.91,0.5,0.0,0,0,1,0,0,0,0.53,0.73,0.71,0.86,1.0,0.93,0.85,0.92,0.67,1.0,Decision - Unanimous,3 Rnd (5-5-5),Marc Goddard,2014-10-04,"Stockholm, Sweden",Middleweight Bout,Magnus Cedenblad,195.58,83.91,200.66,2,190.5,83.91,190.5,4,32,26,0,2,0,1,3,0,791,1484,115,140,7,13,753
2232,Nico Musoke,Alexander Yakovlev,0,0,0.44,0.41,0.53,0.41,0.0,0.0,0,0,0,0,0,0,0.33,0.29,0.94,0.73,1.0,1.0,0.81,1.0,0.0,0.0,Decision - Unanimous,3 Rnd (5-5-5),Grant Waterman,2014-10-04,"Stockholm, Sweden",Welterweight Bout,Nico Musoke,182.88,77.11,190.5,2,190.5,70.31,187.96,4,28,30,0,2,1,1,3,0,942,59,60,140,106,13,909
2233,Dennis Siver,Charles Rosa,0,0,0.38,0.24,0.64,0.29,1.0,0.5,1,1,15,1,2,3,0.31,0.21,0.57,0.25,0.88,0.5,0.0,0.0,1.0,0.0,Decision - Unanimous,3 Rnd (5-5-5),Kristian Hacklou,2014-10-04,"Stockholm, Sweden",Featherweight Bout,Dennis Siver,167.64,65.77,177.8,2,175.26,65.77,175.26,3,35,28,0,10,0,7,3,0,320,262,105,140,2,13,301
2234,Cathal Pendred,Gasan Umalatov,0,0,0.53,0.39,0.55,0.47,0.07,0.0,0,0,1,0,0,0,0.24,0.35,0.86,0.44,0.94,0.86,1.0,0.75,0.0,0.0,Decision - Split,3 Rnd (5-5-5),Marc Goddard,2014-10-04,"Stockholm, Sweden",Welterweight Bout,Cathal Pendred,185.42,77.11,190.5,2,180.34,77.11,180.34,2,27,32,1,1,1,0,5,0,180,579,115,140,106,13,168
2235,Tor Troeng,Krzysztof Jotko,0,0,0.31,0.75,0.43,0.83,0.0,0.5,0,0,0,0,0,0,0.16,0.57,0.8,0.97,1.0,1.0,0.82,0.91,0.0,0.8,Decision - Unanimous,3 Rnd (5-5-5),Grant Waterman,2014-10-04,"Stockholm, Sweden",Middleweight Bout,Krzysztof Jotko,187.96,83.91,195.58,2,185.42,83.91,195.58,4,31,25,1,1,1,2,3,1,1235,986,60,140,7,13,694
2236,Mairbek Taisumov,Marcin Bandel,1,0,0.9,0.42,0.9,0.43,0.0,0.0,0,0,0,0,0,0,0.89,0.43,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,KO/TKO,3 Rnd (5-5-5),Kristian Hacklou,2014-10-04,"Stockholm, Sweden",Lightweight Bout,Mairbek Taisumov,175.26,70.31,185.42,2,177.8,70.31,177.8,2,26,24,0,1,0,1,1,0,796,1076,105,140,6,13,758
2237,Zubaira Tukhugov,Ernest Chavez,0,0,0.59,0.4,0.61,0.4,0.0,0.0,0,0,0,0,0,0,0.57,0.38,0.83,0.0,1.0,0.6,0.89,0.0,0.83,0.0,KO/TKO,3 Rnd (5-5-5),Bobby Rehman,2014-10-04,"Stockholm, Sweden",Featherweight Bout,Zubaira Tukhugov,172.72,65.77,172.72,2,172.72,65.77,177.8,2,23,31,1,1,1,0,1,0,1312,528,15,140,2,13,1257
2238,Demetrious Johnson,Chris Cariaso,0,0,0.62,0.22,0.71,0.37,1.0,0.0,2,0,4,0,0,0,0.5,0.05,0.87,0.67,0.5,0.6,0.91,1.0,0.71,0.0,Submission,5 Rnd (5-5-5-5-5),Herb Dean,2014-09-27,"Las Vegas, Nevada, USA",UFC Flyweight Title Bout,Demetrious Johnson,160.02,56.7,167.64,2,160.02,56.7,160.02,4,28,33,7,8,3,2,4,0,315,275,63,73,31,15,296
2239,Donald Cerrone,Eddie Alvarez,1,0,0.53,0.34,0.55,0.41,0.0,0.0,0,0,1,0,0,0,0.33,0.32,0.8,0.42,0.96,0.67,0.74,0.58,0.55,0.0,Decision - Unanimous,3 Rnd (5-5-5),John McCarthy,2014-09-27,"Las Vegas, Nevada, USA",Lightweight Bout,Donald Cerrone,185.42,70.31,185.42,2,175.26,70.31,175.26,2,31,30,0,11,0,3,3,0,338,489,85,73,6,13,321
2240,Dustin Poirier,Conor McGregor,0,1,0.52,0.31,0.53,0.31,0.0,0.0,0,0,0,0,0,0,0.27,0.32,0.0,0.25,0.88,0.0,0.0,0.0,0.0,1.0,KO/TKO,3 Rnd (5-5-5),Herb Dean,2014-09-27,"Las Vegas, Nevada, USA",Featherweight Bout,Conor McGregor,175.26,70.31,182.88,4,175.26,70.31,187.96,4,25,26,3,8,0,2,1,1,353,329,63,73,2,13,226
2241,Tim Kennedy,Yoel Romero,0,2,0.34,0.48,0.36,0.55,0.0,0.75,1,0,0,1,0,0,0.29,0.45,0.43,0.5,0.57,0.67,0.6,0.62,0.0,0.64,KO/TKO,3 Rnd (5-5-5),John McCarthy,2014-09-27,"Las Vegas, Nevada, USA",Middleweight Bout,Yoel Romero,180.34,83.91,187.96,2,182.88,83.91,185.42,4,35,37,4,3,0,0,1,1,1216,1725,85,73,7,13,1243
2242,Cat Zingano,Amanda Nunes,0,0,0.66,0.59,0.8,0.67,1.0,0.5,3,0,5,1,0,0,0.63,0.56,0.78,1.0,1.0,1.0,0.88,0.33,0.68,0.62,KO/TKO,3 Rnd (5-5-5),Jason Herzog,2014-09-27,"Las Vegas, Nevada, USA",Women's Bantamweight Bout,Cat Zingano,167.64,65.77,172.72,4,172.72,65.77,175.26,2,32,26,2,1,0,0,1,0,179,79,69,73,107,13,167
2243,Dominick Cruz,Takeya Mizugaki,0,0,0.74,0.2,0.74,0.27,1.0,0.0,0,0,1,0,0,0,0.74,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,KO/TKO,3 Rnd (5-5-5),Chris Tognoni,2014-09-27,"Las Vegas, Nevada, USA",Bantamweight Bout,Dominick Cruz,172.72,61.23,172.72,2,170.18,61.23,172.72,2,29,30,7,2,2,0,1,0,335,1582,28,73,0,13,316
2244,Jorge Masvidal,James Krause,1,0,0.43,0.4,0.48,0.41,0.5,0.0,0,0,2,0,1,0,0.35,0.38,0.79,0.44,0.44,0.6,0.81,0.33,1.0,0.0,Decision - Unanimous,3 Rnd (5-5-5),Herb Dean,2014-09-27,"Las Vegas, Nevada, USA",Lightweight Bout,Jorge Masvidal,180.34,77.11,187.96,2,187.96,77.11,185.42,2,29,28,2,4,1,1,3,0,632,697,63,73,6,13,609
